Timestamp,Gender,Age,Education,Occupation,How many years have you been working as a software engineer?,What is your current level of expertise in software engineering?,Which company(s) do you currently work for or have you previously worked for in the past as a software engineer?,Which of the following types of companies have you worked for as a software engineer? (Select all that apply),How familiar are you with the concept of dark patterns (deceptive patterns) in user interface design?,Have you ever been involved in implementing dark pattern user interface designs in your work as a software engineer?,"Which types of dark pattern designs have you implemented in your work as a software engineer? (Select all that apply)
Image sources: Nagging, Obstruction, Sneaking, Interface Interference, Forced Action",Have you ever been pressured or encouraged by stakeholders or management to implement dark patterns in your projects?,What factors influence your decision to implement dark patterns in your projects? (Select all that apply),What factors influence your decision not to implement dark patterns in your projects? (Select all that apply),How do you perceive the impact of dark patterns on user trust?,How do you perceive the impact of dark patterns on user satisfaction?,How important do you believe it is to prevent the implementation of dark patterns in software development?,Have you ever raised concerns or objections about the use of dark patterns in your projects?,"If yes, please provide further details or examples of the specific dark patterns you objected to and the reasons behind your concerns.",Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,categoraization,Have you utilized any tools or software to enhance the user interface (UI) design of your software applications?,"If yes, please specify the tools or software you have used for UI design improvement. Have these tools contributed to the implementation of dark patterns in your code?",Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,categoraization,Which of the following alternative solutions do you think could be helpful in preventing the implementation of dark patterns in software?,"In your opinion, what ethical responsibilities do software developers have regarding the use of dark patterns in user interface design?",Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,categoraization,"Do you believe there should be industry regulations or guidelines regarding the use of dark patterns in software development? Why, and why not?",Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,categoraization
3/28/2024 15:05:26,Male,35 - 44,Master's degree,Backend Software Engineer,6 - 10 years,Principal Engineer,Abound,"Technology/Software Company, Financial Services",2,Maybe,Obstruction - The user encounters obstacles or challenges that impede their ability to successfully accomplish the task or obtain the necessary information,Maybe,"Meeting business goals or targets, User experience (UX) principles","Ethical considerations, Legal compliance",Neutral,Negative,2,"Yes, but they were ignored","I sought to emphasize details regarding the cost of the applications, but this was declined by others due to concerns it could lead to a decrease in our business.","app cost, peers' declination, business benefit","hidden costs, sneaking","business benefit, colleagues discussion","details: company benefit, ingorance",No,,,,,,"Implementation of industry-wide standards or regulations, Encouraging a culture of transparency and accountability within development teams",Customers' financial loss caused by dard pattern,no users' financial loss,"financial loss, user experience","financial loss, user experience",avoid financial loss,"Yes, as a software engineer, I am asked to implement things that are designed by PM and designers. Without any guideline or regulation, we cannot say no to the tasks with dark pattern design.",negative,positive,positive,"regulation needed, force to implement, by project managers, by designers, hard to against",tasks assigned by higher managment,"regulation, high-up decisions",yes
3/28/2024 17:37:49,Male,25 - 34,High School,Senior web developer,Over 10 years,Senior Software Engineer,,Technology/Software Company,5,No,Not applicable/I've never implemented a dark pattern design before,No,N/A,"Ethical considerations, User experience (UX) principles",Negative,Negative,4,Not Applicable,,,,,,Yes,"Various open source software libraries/frameworks, these have not contributed to dark patterns.","open-source software libraries/frameworks, no contribution to DPs","open source library, open source frameworks, no dark pattern","open source libraries/frameworks, no dark pattern","frameworks/libraries, no dark patterns","Strict adherence to ethical guidelines in UI/UX design, Highlighting negative implications of dark patterns to stakeholders",Seek to minimise impact where possible,minimize impacts,"minimize impact, user experience","minimize impact, user experience",minimize impact,"Ideally yes, however any regulation would need to be (A) enforceable and (B) kept up to date in a very fast changing industry, I'm not sure if that's feasible.",negative,positive,positive,"feasible level, enforceable, keep up to date","feasability, fast changing industry","feasability, keep up to date",unsure/doubt
3/28/2024 19:51:24,"Female, Non-binary",45 - 54,Master's degree,Freelance/consulting,Over 10 years,Staff Engineer,"Amazon, HBO, Sony, many others","Technology/Software Company, Medical/Healthcare, Non-profit Organization",5,No,Not applicable/I've never implemented a dark pattern design before,Yes,"Pressure from stakeholders or management, Meeting business goals or targets","Ethical considerations, User experience (UX) principles",Very negative,Very negative,5,No,,,,,,No,,,,,,"Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams, Firing squads",Customer focus should take priority,priority customer focus,"customer focus, user ecperience","customer focus, user experience",customer focus,"Yes, because clearly the industry is incapable of self-regulating",negaitve,positive,positive,"regulation needed, incapable self-regulating",industry not self regulating,regulation,yes
3/28/2024 20:52:51,Male,35 - 44,Master's degree,Software Development Consultant,Over 10 years,Principal Engineer,"Microsoft, Nokia, Sky","Technology/Software Company, Financial Services, Goverment",5,Maybe,"Forced Action - The user desires to accomplish a certain task, yet they are forced to engage in an undesirable action as a prerequisite",Maybe,Meeting business goals or targets,"Ethical considerations, User experience (UX) principles",Negative,Negative,4,No,,,,,,No,,,,,,"Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams",Developers should provide the information to the end-user without trying to trick him to do something he does not want to do,"avoid tricking users, informed actions","avoid forced action, tranperancy, no sneaking","avoid tricking users, informed actions",avoid trick,"YES. Without a baseline regulation, it is a complete jungle, and some providers will keep on using dark patterns to achieve their goals, no matter how bad this is for the end-user.",negative,positive,positive,"regulation needed, usage of DPs, achieve goals, harm to users",providers harm end-user,"regulation, harm to users",yes
3/29/2024 4:36:23,Male,25 - 34,Some College,CTO,Over 10 years,Staff Engineer,"Visia Quantum srl, VB Italia srl, self-employed",Technology/Software Company,4,No,Not applicable/I've never implemented a dark pattern design before,No,Not Applicable,"Ethical considerations, Legal compliance, User experience (UX) principles, Company culture",Negative,Negative,5,Not Applicable,,,,,,Yes,"Hotjar to track user behaviour in page, used to improve the overall UX and not implement dark patterns","Hotjar, user behavior tracking, UX improvement","Hotjar, track user behavior, UI/UX design, no dark pattern","Hotjar, tracking, UI/UX design, no dark pattern","behavior analytics tools, no dark patterns","Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams",,,,,,"I am fairly against over-regulating the Web, since it somehow complicates ethical software engineers and doesn't really do anything to stop non-ethical ones. In addition, it could enforce dark patterns efficiency, since less expert people would likely assume those practices are not implemented. There should (and probably will) be more education and awareness among the users.",negative,negative,negative,"no over-regulation, complicate things, educate users, improve awareness","less regulation, more dark pattern education","less regulation, dark pattern education, awareness",no
3/31/2024 16:33:39,Male,35 - 44,Some College,web developer,6 - 10 years,Software Engineer,"MaxMind, ezCater",Technology/Software Company,4,No,Not applicable/I've never implemented a dark pattern design before,No,n/a,"Ethical considerations, Company culture",Negative,Negative,5,No,,,,,,Yes,"Tools for generating color schemes like Adobe Color, tools for generating CSS for gradients, shadows, etc. No, these tools have not contributed to the implementation of dark patterns in my code.","Adobe Color, color scheme generation, CSS generation, no contribution to DPs","Adobe Color, tools for CSS, no dark pattern","Adobe Color, CSS generation, no dark pattern","color palette generator tools, no dark pattern","Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams","We have a responsibility to push back on anything that is likely to harm users, and that includes dark patterns","no harm to users, push back",avoid dark pattern,avoid dark pattern,avoid harm,"Yes, there should be regulations around dark patterns. Software can cause real harm to users. For example, dark patterns in social media apps harming the mental health of users. When companies are causing harm to users in the name of profit, regulations are required in order to protect these users.",negative,positive,positive,"regulation needed, harm to users, mental health issues, social media, users protection, for-profit company","user harm, mental health awareness","regulation, harm to users, for-profit company, mental health, awareness",yes
4/2/2024 10:05:52,Female,18 - 24,Bachelor's degree,Student,Less than 1 year,Junior Software Engineer,Garmin,Technology/Software Company,4,No,Not applicable/I've never implemented a dark pattern design before,No,Meeting business goals or targets,"Ethical considerations, Company culture",Very negative,Neutral,4,No,,,,,,Yes,"The tools I have used are mainly tools with templates, like Vue to help more easily design interfaces. They have not contributed to the implementation of dark patterns.","Vue, UI design, no contribution to DPs","Vue, no dark pattern","Vue, UI/UX design, no dark pattern","frontend frameworks, no dark patterns",Implementation of industry-wide standards or regulations,"Software developers have a responsibility to ""do no harm."" This means they should not use dark patterns that could cause addictive behaviors, financial troubles, etc. because these are harmful to the user. Users should use your application because they like it not because they feel forced into it. ","no harm to users, no additive behaviors, no users' financial loss, no forced action","no forced action, 'do no harm', avoid addictive behaviors, avoid financial troubles","avoid dark pattern, addictive behaviors, financial loss","avoid financial loss, avoid harm","I believe their should be some industry regulations particularly when it comes to dark patterns that cause people to spend money. This is dangerous to me both because it hurts people economically, and because of the amount of children with access to technology these days. Children should not be able to accidentally spend money due to dark patterns in apps and games.",negative,positive,positive,"regulation needed, financial loss, gaming, children protection","children, spend money, gaming","regulation, financial loss, gaming, special groups",yes
4/6/2024 13:16:30,Male,45 - 54,Bachelor's degree,Front-end technical architect,Over 10 years,Principal Engineer,Forum One,Technology/Software Company,5,No,,No,Pressure from stakeholders or management,"Ethical considerations, User experience (UX) principles, Company culture",Very negative,Very negative,5,Not Applicable,,,,,,Maybe,,,,,,"Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams",,,,,,Yes,netural,positive,neutral,regulation needed,,regulation,yes
4/6/2024 13:51:42,Female,45 - 54,Doctoral degree,Professor; former software architect ,Over 10 years,Principal Engineer,Node Digital,"Technology/Software Company, Goverment",5,No,Not applicable/I've never implemented a dark pattern design before,Not Applicable,n/a,"Ethical considerations, User experience (UX) principles",Very negative,Very negative,5,Not Applicable,,,,,,No,,,,,,"Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams",knowledge of these patterns and ethics issues,"knowledge of dark patterns, knowledge of ethical issues","ethical issue, knowledge of dark pattern","ethical issues, knowledge of dark pattern",knowledge education,"yes because dark patterns are manipulative, ",negative,positive,positive,"regulation needed, manipulations",manipulative,"regulation, manipulation",yes
4/8/2024 19:52:33,Male,35 - 44,Doctoral degree,CTO,Over 10 years,"CTO, Staff+ Level in all areas of the stack","Texture -- previously Extra, Better, Knotel, Spring, SocialRadar, NGP VAN, Amherst College, UMass Amherst","Technology/Software Company, Financial Services, Education, Non-profit Organization",5,No,Not applicable/I've never implemented a dark pattern design before,Yes,"Pressure from stakeholders or management, Meeting business goals or targets","Ethical considerations, Legal compliance, User experience (UX) principles, Company culture",Very negative,Very negative,5,"Yes, and they were addressed","Honestly it's been a long time since I had to deal with them, more recently I have been leading teams where these are not even introduced because we share company culture that they are bad","avoid dark patterns, bad design, company culture",no dark pattern due to company culture,"avoid dark pattern, company culture","details: avoid using dark patterns, company culture",Yes,"Not sure I entirely understand the question, but have used Figma and Sketch","unsure, Figma, Sketch","Figma, Sketch","Figma, Sketch",design tools,"Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams",They should absolutely raise these concerns and argue against them,"raise concerns, argue against, push back","raise concern, object","raise concern, object to dark pattern",raise concerns,"Yes absolutely, because they are toxic",negative,positive,positive,"regulation needed, toxic",toxic,"regulation, toxic",yes
4/9/2024 11:30:27,Male,18 - 24,Bachelor's degree,Teaching Assistant,Less than 1 year,Junior Software Engineer,,Technology/Software Company,5,No,Not applicable/I've never implemented a dark pattern design before,No,"Pressure from stakeholders or management, Meeting business goals or targets","Ethical considerations, Legal compliance, User experience (UX) principles",Very negative,Negative,5,Not Applicable,,,,,,Yes,I've used Figma for UI design. This tool did not contribute to implementation of dark patterns. I have not implemented dark patterns.,"Figma, UI design, no contribution to DPs","Figma, UI/UX design","Figma, UI/UX design, no dark pattern","design tools, no dark patterns","Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams",To not implement designs that they themselves would not want to use.,"avoid DPs implementation, designs self-hated","avoid dp they would not like, user experience","avoid dark pattern, desliked designs, user experience",no implementation,"I think there should be some regulations, especially sneaking and obstruction.",netural,positive,neutral,"regulation needed, sneaking, obstruction","sneaking, obstruction","regulation, sneaking, obstruction",yes
4/17/2024 17:54:18,Male,35 - 44,Bachelor's degree,Software engineer,Over 10 years,Principal Engineer,"Brave, Mozilla, Catalyst IT","Technology/Software Company, Non-profit Organization",4,No,Not applicable/I've never implemented a dark pattern design before,No,I have not implemented dark patterns,"Ethical considerations, Company culture",Very negative,Very negative,5,No,,,,,,No,,,,,,"Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams",They must treat users with dignity and respect.,respect users' dignity,give users respect,respect users,customer focus,"Yes. Just like with privacy, for-profit companies will not pay attention to this problem unless there are serious consequences.",negative,positive,positive,"regulation needed, privacy issues, for-profit company","consequences, for-profit companies","regulation, for-profit company, privacy issues",yes but doubt
4/18/2024 10:25:20,Male,18 - 24,Doctoral degree,Phd Student / GTA,1 - 2 years,Software Engineer,"Shopee, Traveloka",Technology/Software Company,3,No,Not applicable/I've never implemented a dark pattern design before,No,-,"Ethical considerations, Legal compliance",Neutral,Negative,4,Not Applicable,,,,,,No,,,,,,"Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams",,,,,,,,,,,,,
4/18/2024 23:32:24,Male,35 - 44,Bachelor's degree,Software Engineer,Over 10 years,Staff Engineer,Google,Technology/Software Company,5,No,Not applicable/I've never implemented a dark pattern design before,No,I haven't implemented or been pressured to implement dark patterns.,I haven't been asked.,Very negative,Very negative,4,No,,,,,,No,,,,,,Implementation of industry-wide standards or regulations,"We have a responsibility to push back, but we need support so that our companies don't just hire someone less ethical.","push back, companies' support","ethical issues, careful employment, avoid dark pattern","ethical issues, avoid dark pattern, company culture",company support,"Yes, to support ethical developers and UI designers.",positive,positive,positive,"ethical developers, UI designers, support",ethical developers encourage,ethical developers and designers,yes
