Timestamp,Gender,Age,Education,Occupation,How long do you use the mobile phone in your daily life?,How long do you use the laptop/desktop in your daily life?,What do you primarily use your devices for?,How familiar are you with the concept of dark patterns (deceptive patterns) in user interface design?,"What is your reactions when you detect the following dark pattern design? 
(Nagging: imagine when you are using Instagram, it keeps nagging you to turn on notifications, repeating this regularly over a period of time...)",Can you describe your reactions more in detail regarding the previous example? ,Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,How often do you encounter this type (Nagging) of dark pattern? ,Which application(s) do you face with (Nagging) dark pattern designs the most?,How confident are you in your ability to detect the (Nagging) dark pattern example?,How confident are you in your ability to avoid being trapped by the (Nagging) dark pattern example?,"What is your reactions when you detect the following dark pattern design? 
(Obstruction: imagine you sign up and subscribe to a service very easily, however, you find out it's extremely hard to cancel as you are required to call customer service to cancel or more effort is needed...)",Can you describe your reactions more in detail regarding the previous example?,Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,How often do you encounter this type (Obstruction) of dark pattern? ,Which application(s) do you face with (Obstruction) dark pattern designs the most?,How confident are you in your ability to detect the (Obstruction) dark pattern example?,How confident are you in your ability to avoid being trapped by the (Obstruction) dark pattern example?,"What is your reactions when you detect the following dark pattern design? 
(Sneaking: Imagine you intend to buy a product online for its lower price compared to other sellers, you're drawing to go through a lengthy series of steps, and then at the end immediately before payment, reveal a final higher price...)",Can you describe your reactions more in detail regarding the previous example?,Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,How often do you encounter this type (Sneaking) of dark pattern? ,Which application(s) do you face with (Sneaking) dark pattern designs the most?,How confident are you in your ability to detect the (Sneaking) dark pattern example?,How confident are you in your ability to avoid being trapped by the (Sneaking) dark pattern example?,"What is your reactions when you detect the following dark pattern design? 
(Interface Interferences: Imagine you want to unsubscribe email notification from Amazon, but you spend an amount of time to locate the ""unsubscribe here"" button because it grayed out in front of a gray background, making it harder to see...)",Can you describe your reactions more in detail regarding the previous example?,Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,How often do you encounter this type (Interface Interferences) of dark pattern? ,Which application(s) do you face with (Interface Interferences) dark pattern designs the most?,How confident are you in your ability to detect the (Interface Interferences) dark pattern example?,How confident are you in your ability to avoid being trapped by the (Interface Interferences) dark pattern example?,"What is your reactions when you detect the following dark pattern design? 
(Forced Action: Imagine you have to accept the newsletter subscription to continue signing up for an account for a product...)",Can you describe your reactions more in detail regarding the previous example?,Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,How often do you encounter this type (Forced Action) of dark pattern? ,Which application(s) do you face with (Forced Action) dark pattern designs the most?,How confident are you in your ability to detect the (Forced Action) dark pattern example?,How confident are you in your ability to avoid being trapped by the (Forced Action) dark pattern example?,What are your reactions toward applications when encountering dark patterns?,Can you think of other example(s) you have experienced of dark pattern designs?,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final
2/23/2024 13:09:12,Male,18 - 24,Some College,Student,4 to 6 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Gaming, Entertainment",3,"Distrust, Annoyance",,,,,,,,Occasionally,"Amazon, Google, Instagram, LinkedIn",3,4,"Distrust, Annoyance",,,,,,,,Rarely,"Amazon, Gym memberships",4,3,"Netural, Disappointment",,,,,,,,Rarely,"Amazon, ",5,4,"Curiosity, Neutral",why?,neutral,,neutral,"curious, why",,curious,Frequently,"Amazon, Google",5,5,"Neutral, Mild concern",,,,,,,,Occasionally,"Amazon, Google, Instagram, YouTube",3,3,"Ignore the Dark Pattern, Continue Using with Caution, Immediately Stop Using the Application",,,,
2/23/2024 13:11:11,Male,18 - 24,Some College,"None, student ",4 to 6 hours,2 to 4 hours,"Education, Communication/Networking, Browsing the Internet, Social Media, Online Shopping, Entertainment",2,"Frustration, Annoyance",I would be very annoyed that this is happening so frequently and it would make me want to stop using the app.,negative,negative,negative,"annoying, stop using app","annoyed, frequently, stop using app","annoying, stop using app",Occasionally,"Amazon, LinkedIn, Twitter, TikTok",5,4,"Mile concern, Frustration, Distrust, Annoyance","If the website is not allowing me or is making it hard to cancel,  I would feel like I am being manipulated or taken advantage of.",negative,negative,negative,"manipulation, taken advantage of","hard to cancel, manipulated, taken advantage of","manipulation, taken advantage of, hard to cancel",Frequently,Amazon,5,4,"Frustration, Anger, Distrust, Disappointment, Annoyance",I would be angry that I was told one thing and then lied to in the end.,negative,negative,negative,"inconsistance, lie","angry, lied to","inconsistent, lie",Very frequently,"Amazon, TikTok, Many online shopping stores",5,4,"Frustration, Distrust, Disappointment, Annoyance",It seems like they are intentionally trying to force me into staying subscribed. ,neutral,negative,negative,"intentional difficult, force action, stay subscribed","forced action, subscription","intentional difficult, forced action, keep subscribed",Rarely,None,5,5,"Frustration, Disappointment, Annoyance",I would be annoyed because I do not want to agree to receive emails forever just because I need to create an account for something.,negative,negative,negative,"annoying, unwanted action","annoyed, disagree, receive emails, create account","annoying, unwanted action",Very frequently,Many random websites ,5,5,"Continue Using with Caution, Look for Alternatives, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings, Immediately Stop Using the Application",,,,
2/23/2024 13:44:09,Male,18 - 24,High School,Undergraduate Student,2 to 4 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping, Gaming, Entertainment",2,"Curiosity, Frustration, Disappointment","Slightly aggravated, but since I can opt-out it isn't too bad. Though if that pop-up appears often I would grow frustrated",negative,neutral,neutral,"aggravated, frequent popup, frustrated","aggravated, opt-out, pop-up, frustrated","aggravated, frequent pop-ups, frustrated, opt-out",Occasionally,"Amazon, Facebook, Google, Microsoft, LinkedIn, YouTube",2,4,"Frustration, Anger, Distrust, Annoyance",Quite annoyed as I have to make a call or email just to unsubscribe instead of clicking a button,negative,negative,negative,annoying,"hard to cancel, call or email to unsubscribe","annoying, hard to cancel",Rarely,"Facebook, YouTube",4,4,"Frustration, Anger, Distrust",Fatigued that I had to go through the process of choosing what to purchase just for the price to significantly increase,negative,negative,negative,"fatiqued, ","price increase, purchase, fatigue","fatigue, price increase",Occasionally,Ticketmaster,3,3,"Frustration, Annoyance",Quite frustrated. Don't like searching for buttons that should be easy to locate.,negative,negative,negative,"frustrated, search button, hard to locate","frustrated, search for buttons, hard to locate","frustrated, searching, hard to locate",Frequently,"Amazon, Facebook, LinkedIn",3,2,"Mild concern, Annoyance",Just general annoyance as it will pollute my email inbox,negative,negative,negative,"annoying, pollute email inbox","annoyed, pollute email","annoying, pollute email",Occasionally,"Facebook, Microsoft, YouTube",4,4,"Ignore the Dark Pattern, Continue Using with Caution, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings, Share Feedback on App Store/Review Platform",Deceptive prices though that is a form of sneaking,"deceptive prices, sneaking ",,"deceptive price, sneaking"
2/23/2024 14:59:36,Male,18 - 24,Master's degree,Student,4 to 6 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping, Gaming, Entertainment",3,"Frustration, Anger, Annoyance","I don't keep notification on, so I get annoyed when my apps ask me to turn on notifications. ",negative,negative,negative,"notification turn off, annoying","turn on notification, annoyed, nagging","annoying, nagging, notification off",Rarely,TikTok,4,4,"Mile concern, Frustration, Anger, Distrust, Disappointment","I want a simple button that allows me to cancel my subscription, not contacting customer service. ",netural,negative,negative,simple operation,"hard to cancel, subscriotion, contact customer service","hard to cancel, simple operation",Never encountered,"Amazon, YouTube",5,2,"Frustration, Anger, Distrust, Disappointment, Annoyance",Why don't you tell me the actual price earlier????!!!!,negative,negative,negative,informed ahead,"angry, not actual price earlier","informed, price increase, angry",Occasionally,Airbnb,4,2,"Frustration, Distrust, Disappointment, Annoyance",I want to unsubscribe! Why force me to read a bunch of junk information before I can unsubscribe!!!!,negative,negative,negative,"force action, junk information","unsubscribe, forced action, junk info","forced action, junk info",Frequently,"Google, websites that send me emails",4,3,Annoyance,"If I was forced to subscribe, I have to spend more time to unsubscribe in the future, which is annoying.",negative,negative,negative,"annoying, force action, spend time to unsubscribe","annoyed, time waste to unsubscribe","annoying, waste of time, unsubscribe in future",Rarely,Can't remember,3,2,"Ignore the Dark Pattern, Continue Using with Caution, Opt-Out or Unsubscribe","Amazon ""subscribe and save"" option is selected by default when purchasing some items.","Amazon, ""subscribe and save"", preselection",,"Amazon, preselection, subscription"
2/23/2024 15:05:21,Agender,18 - 24,Some College,Student,2 to 4 hours,More than 6 hours,"Education, Browsing the Internet, Gaming, Entertainment",1,"Frustration, Anger, Distrust, Annoyance",It makes me want to leave the app since it is so annoying,negative,negative,negative,"annoying, stop using app","leave app, annoying","annoying, stop using app",Frequently,Apple notes app,5,5,"Mile concern, Distrust, Disappointment, Annoyance",They are taking advantage of people who do not know better,negative,negative,negative,taken advantage of,taken advantage of,taken advantage of,Rarely,Adobe software subscription,4,3,"Distrust, Disappointment, Annoyance",I don't like when people lie. This one isn't a person so i don't have anyone to be mad at. It feels like sunk cost fallacy,negative,negative,negative,"lie, sunk cost fallacy, mad","lie, sunk cost fallacy","lie, sunk cost fallacy",Rarely,Amazon,2,4,"Neutral, Annoyance",It doesn't have to be malicious it is sometimes just bad design. I know from my class that unsubscribe links are legally required,neutral,negative,negative,"bad design, non-malicious, legal required, unsubscribe links","malicious, bad design, unsubcribe links legally required","bad design, legal required",Rarely,Emails,2,5,"Frustration, Distrust, Annoyance","I don't want to do things, and if they try to make me i'll probably just leave",negative,negative,negative,"unwilling to do, give up",leave if too much hassle,"unwilling to do, leave, give up",Rarely,Microsoft,4,3,"Ignore the Dark Pattern, Continue Using with Caution, Look for Alternatives, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings, Immediately Stop Using the Application",,,,
2/27/2024 15:53:32,Female,25 - 34,Master's degree,Students,"Sometimes longer than 6 hours, sometimes shorter than 1 hour",4 to 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Online Shopping, Entertainment",2,Annoyance,I feel it pretty annoying and will search for internet to turn it off,negative,negative,negative,"annoying, find solution, turn off","annoyed, search internet to turn off","annoying, search internet to turn off",Rarely,Microsoft,4,5,"Frustration, Anger, Disappointment",Any operation relate with calling customer support frustrate me as it is really difficult to talk to a real person,negative,negative,negative,frustrated,"hard to cancel, call customer service, difficult to talk to a real person","hard to cancel, frustrated",Rarely,"Probably some smaller websites or service that you cannot unsubscribe from Gmail, such as airplane website?",4,1,"Frustration, Disappointment, Annoyance, I also feel like being trapped","I will be angry and more aware, and will decide to choose different options even give up",negative,negative,negative,"angry, awareness, find other options, give up","angry, more aware, choose different options","angry, awareness, find other options, give up",Occasionally,Expedia,3,3,Mile concern,I feel like it happens a lot as they don't want you unsubscribe,neutral,negative,negative,frequent happen,unsubscribe,"frequent, keep subscribed",Occasionally,Some shopping websites but I really cannot recall the names,3,3,Disappointment,"If I need to subscribe to sign up, I probably not doing it. But if I really want to do it, I will subscribe and see if I can cancel it later",negative,neutral?,neutral,"unwilling to do, give up, spend time to unsubscribe","not subscribe to sign up, cancel later if necessary","unwilling to do, waste of time, unsubscribe in future",Never encountered,I don't have that kind of experience,3,3,"Continue Using with Caution, Opt-Out or Unsubscribe, Immediately Stop Using the Application",Not really,N/A,no,no
2/29/2024 12:18:12,Male,25 - 34,Doctoral degree,GRA,2 to 4 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping, Gaming, Entertainment",5,"Mild concern, Frustration, Distrust, Disappointment, Annoyance",,,,,,,,Very frequently,"Facebook, Instagram, LinkedIn, TikTok, YouTube, Expedia, Ticketmaster",5,4,"Mile concern, Frustration, Anger, Distrust, Disappointment, Annoyance",,,,,,,,Very frequently,"Facebook, Instagram, LinkedIn, YouTube, Expedia, Ticketmaster",5,5,"Mild concern, Frustration, Anger, Distrust, Disappointment, Annoyance",,,,,,,,Very frequently,"Instagram, LinkedIn, YouTube, Expedia, Patreon, Twitch, Ticketmaster",5,5,"Mile concern, Frustration, Anger, Distrust, Disappointment, Annoyance",,,,,,,,Very frequently,"LinkedIn, YouTube, Expedia, Ticketmaster",5,5,"Mild concern, Frustration, Anger, Distrust, Disappointment, Annoyance",,,,,,,,Very frequently,"LinkedIn, Expedia, Ticketmaster",5,5,"Ignore the Dark Pattern, Continue Using with Caution, Look for Alternatives, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings, Immediately Stop Using the Application",,,,
3/4/2024 14:09:51,Male,35 - 44,Doctoral degree,CS Student,More than 6 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping",3,Annoyance,,,,,,,,Occasionally,"Facebook, LinkedIn, Twitter, YouTube",2,3,"Anger, Distrust, Disappointment, Annoyance","I really get annoy when there no option to cancel your subscription within the application, instead you have call speak with customer care to cancel your subscription, it triggers anger and annoyance.",negative,negative,negative,"angry, annoying","hard to cancel, subscription, call to cancel, annoyed, angry","annoying, angry, hard to cancel",Frequently,Amazon,3,2,"Frustration, Anger, Distrust, Disappointment, Annoyance",,,,,,,,Frequently,"Amazon, Google, Expedia",2,2,"Frustration, Anger, Distrust, Disappointment, Annoyance",,,,,,,,Frequently,Facebook,2,2,Mild concern,,,,,,,,Occasionally,Google,2,2,"Ignore the Dark Pattern, Look for Alternatives, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings",Not sure.,N/A,no,no
3/8/2024 12:37:22,Female,25 - 34,Master's degree,Currently grad student,4 to 6 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping, Gaming, Entertainment",4,"Frustration, Anger, Annoyance","If I kept hitting ""not now"" and it kept popping up, it would annoy me to whether I just didn't use the app.",negative,negative,negative,"annoying, frequent popup, stop using app","""not now"", popping up, annoy, not use the app","annoying, frequent pop-ups, stop using app",Very frequently,"Microsoft Teams is one of the worst.  Many websites do a similar thing for ""allow cookies"" so I feel forced to just hit ""accept all"" so it will go away.",5,1,"Anger, Distrust, Annoyance",I would be very frustrated with this as I'm too busy to have to wait on hold with customer support for something that could easily be done online if that was an option.,negative,negative,negative,"frustrated, wait on hold","frustrated, customer support, online option","frustrated, wait on hold, online option",Rarely,Mostly iPhone apps/games that I subscribe to.  I don't have many subscriptions in my name.,4,1,"Frustration, Anger, Distrust, Disappointment, Annoyance",I would be angry I wasted my time just for a website to basically lie about a lower price just to throw in random fees at the end.  I try to avoid sites that I know do this so it limits my shopping options.,negative,negative,negative,"angry, lie, waste time, avoid sites, limit shopping options","angry, website, lower price, random fees, limits shopping","angry, lie, waste of time, limit shopping options",Frequently,"Facebook, AirBNB!!!!!  DoorDash, Stubhub, lots of smaller online sellers who lure you in then make you pay crazy high shipping that cancels out any discount, Facebook ads (not Facebook itself)",4,2,Frustration,Minor frustration as I can still find what I need or use CTRL F if really desperate.  I'm more annoyed from an inaccessible interface perspective for someone with disabilities trying to perform the same task.,negative,neutral?,negative,"frustrated, search button, desperate, annoying, inaccessible interface, unfriendly to disabilities","frustrated, CTRL F, desperate, annoyed, inaccessible interface perpective for disabilities","frustrated, searching, desperate, annoying, unfriendly to disabilities",Occasionally,"Not sure, since I can mostly work around it.",2,5,Frustration,"I use a junk/spam email for this exact purpose, so only minor frustration",neutral,negative,negative,"junk/spam email inbox, slight frustration","minor frustration, junk/spam email to filter","junk/spam email inbox, minor frustration",Very frequently,"Amazon, Facebook, Instagram, LinkedIn, YouTube, Not sure but likely most of the above",5,3,"Ignore the Dark Pattern, Continue Using with Caution, Look for Alternatives, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings, Immediately Stop Using the Application","Main one I'm thinking of is cookies on websites.  I try to hit ""only necessary"" and also clear cookies regularly but if I'm clicking quickly or I'm annoyed by the continuous pop-up, I'll sometimes hit ""allow all"" just to make it stop and go away.  I risk privacy/security for convenience more than even I like.","cookie consent, privacy issues, security issues, nagging, pop-ups","cookie consent, ""only necessary"", click quickly, continuous pop-up, annoyed, click ""allow all"", convenience, privacy issue","cookie consent, nagging, pop-ups, privacy issues"
3/19/2024 12:43:18,Male,18 - 24,Master's degree,Student,4 to 6 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping, Gaming",3,"Frustration, Distrust, Annoyance",I get annoyed by the continued persistence of the application even though I set my preferences once,negative,negative,negative,"annoying, preference settings","persistence, set preferences once","annoying, preference settings",Occasionally,"Instagram, TikTok, YouTube",5,5,"Frustration, Anger, Annoyance",The added effort that goes into cancelling a subscription is what gets frustrating. They use this as an opportunity to sell their products. ,negative,negative,negative,"frustrated, sell products","effort, cancelling subscription, opportunity to sell products","frustrated, sell products",Rarely,I have not seen this as of recent,5,5,"Frustration, Annoyance","The reason I thought of buying a given product is because of its lower price. If they tag on hefty shipping fees towards the end that essentially make the product cost the same, it gets annoying.",negative,negative,negative,"inconsistance, annoying","lower price, tag hefty shipping fees, gets annoying, tricky","inconsistent, annoying, tricky, shipping fees",Occasionally,"Amazon, Facebook, Airbnb, Ebay, Craigslist",5,5,"Mile concern, Frustration",By law they do need to provide the ability to unsubscribe but the fact that they push this to the limits by making it harder to find is frustrating. ,negative,negative,negative,"legal required, frustrated, push to limits","law, ability to unsubscribe, harder to do, frustrating","frustrated, law, legal required",Rarely,Some university marketing emails ,5,5,"Mild concern, Frustration",There should be laws that protect consumers from being forced to sign up for a newsletter to use the application. It adds an additional step to opt out which is frustrating. ,negative,negative,negative,"law regulation intervention needed, consumer protection, frustrated, hard to opt-out ","laws protect from sign up, newsletter, opt-out, extra step","law, regulation needed, consumer protection, frustrated, hard to cancel",Rarely,I have not come across this,5,4,"Look for Alternatives, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings, Immediately Stop Using the Application",AARP sends a lot of mail and I am still trying to figure out how I can unsubscribe from their newsletters,"AARP, newsletters subscription, hard to cancel, obstruction","AARP, emails, trying to unsubscribe","AARP, subscription, hard to cancel, obstruciton"
3/26/2024 0:06:30,Male,25 - 34,Master's degree,Graduate Student,4 to 6 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Entertainment",1,Annoyance,If I wanted my notifications to be turned I will do it or maybe can be asked once but not more than that. If I decided not to turn on the notifications when asked for the first time then I don't want it to popup again ever.,netural,negative,neutral,preference settings,"notifications, pop-up, nagging","preference settings, nagging",Occasionally,"Google, YouTube",3,4,"Frustration, Disappointment",The unsubscribe option should be made easy to access similar to how it was subscribed without much effort.,netural ,negative,neutral,equal efforts of subscription and unsubscribe,"unsubscribe, hard to access, effort","unsubscribe, hard to access, equal efforts of subscription",Occasionally,Don't remember exactly but have not encountered it anytime recently.,4,4,"Mild concern, Disappointment, Annoyance","Sometimes it gets very annoying but most of the times like during flights booking it is always understood that some additional charges will be posted at the checkout page. Similar situations happen at times but when we don't expect it, then it is really disappointing.",nagetive,negative,negative,"annoying, out of expectation, disappointed, unreasonable charges","annoyed, flight bookings, additional charges, checkout, disappointing","annoying, flight bookings, price increase, disappointed",Frequently,"Expedia, ",4,4,Frustration,The unsubscribe thing should be made pretty simple rather than redirecting to different pages and then finally getting it unsubscribed.,neutral,negative,negative,simple operation needed,"should be made simple, redirecting to different pages",simple operation request,Frequently,"Amazon, LinkedIn",4,4,"Mild concern, Anger, Annoyance","Sometimes this is required as we need to get updates on things we are signing up for but when ti is a mandatory thing to do before you can sign up, I think this is the worse thing to do.",negative,negative,negative,worse,"sign up, mandatory","signup required, mandatory",Frequently,Don't remember exactly.,5,5,"Continue Using with Caution, Look for Alternatives, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings",There are times when you even just open a website or a link but it pops up with multiple dark pattersn like subscribing to newsletters or sign up to get offers when we just wanted to explore and not be a member of that website or application.,"newsletters subscription, nagging, pop-ups","website, links, pop-ups, sibscribing, newsletter, signups, offer, membership","subscription, nagging, pop-ups"
4/17/2024 13:29:30,Male,25 - 34,Bachelor's degree,Software Engineer,2 to 4 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping, Gaming, Entertainment",4,"Frustration, Distrust, Annoyance",Too many blocking window panes,netural,negative,neutral,blocking information,blocking window panes,block information,Very frequently,"Instagram, LinkedIn, TikTok, YouTube",4,2,"Frustration, Distrust, Disappointment, Annoyance",Major annoyance,negative,negative,negative,annoying,annoyed,annoying,Very frequently,"Amazon, Facebook, Google, LinkedIn, TikTok",5,4,"Curiosity, Mild concern, Frustration, Distrust",Curious how the sneak into cart happened,netural,neutral,neutral,curious,"curious, sneak into cart","curious, sneak into cart",Occasionally,Amazon,5,2,Frustration,Hard to focus ,negative,negative,negative,hard to focus,hard to focus,hard to focus,Very frequently,"Amazon, LinkedIn, Twitter, TikTok",5,5,"Frustration, Distrust, Disappointment",Want to avoid the service,neutral,negative,neutral,want to avoid,avoid service,want to avoid,Frequently,"LinkedIn, TikTok",5,4,"Continue Using with Caution, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings",Frictional UIs,frictional UIs,Frictional UIs,frictional UIs
6/7/2024 14:25:11,Female,18 - 24,Bachelor's degree,Student,2 to 4 hours,2 to 4 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet",2,Annoyance,,,,,,,,Occasionally,"Instagram, YouTube",2,1,Anger,,,,,,,,Frequently,"Google, YouTube",2,2,"Frustration, Distrust, Disappointment",,,,,,,,Frequently,"Amazon, Instagram",3,3,"Frustration, Anger",,,,,,,,Very frequently,"Google, Microsoft",3,2,Understanding,,,,,,,,Frequently,"Facebook, Instagram",2,3,"Continue Using with Caution, Look for Alternatives",,,,
6/7/2024 15:50:44,Male,18 - 24,Some College,Student ,2 to 4 hours,2 to 4 hours,"Education, Communication/Networking, Browsing the Internet, Social Media, Gaming, Entertainment",1,"Neutral, Annoyance",,,,,,,,Occasionally,"Google, Microsoft, TikTok, YouTube",2,3,"Distrust, Disappointment, Annoyance",,,,,,,,Rarely,"Twitter, TikTok",3,4,Disappointment,,,,,,,,Occasionally,Expedia,2,2,"Mile concern, Frustration",,,,,,,,Very frequently,"Amazon, Facebook, Google, Microsoft, Instagram, LinkedIn, Slack, Twitter, TikTok, YouTube, Expedia",2,1,Frustration,,,,,,,,Rarely,Random small accounts,3,1,"Look for Alternatives, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings",,,,
6/7/2024 22:27:14,Male,25 - 34,Master's degree,Graduate Research Assistant,4 to 6 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping, Gaming",3,"Frustration, Annoyance",,,,,,,,Rarely,TikTok,3,4,Disappointment,It should be possible to do this online.,netural,negative,neutral,online operation,possible to do online,online option,Occasionally,insurance,4,3,"Frustration, Anger, Distrust, Disappointment, Annoyance",,,,,,,,Frequently,"Airbnb, Booking, etc",4,5,"Disappointment, Annoyance",,,,,,,,Rarely,very rare,3,4,"Frustration, Disappointment, Annoyance",,,,,,,,Frequently,newsletters,4,3,"Continue Using with Caution, Look for Alternatives, Adjust Privacy and Notification Settings",,,,
6/8/2024 18:25:17,Male,25 - 34,Bachelor's degree,Sciences ,More than 6 hours,Less than 1 hour,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping, Gaming, Entertainment",3,Annoyance,I find it annoying to frequently get notifications that tell me to do something I don’t want. This way these apps force or manipulate us to change our settings in a way that it benefits them.,negative,negative,negative,"annoying, force to change settings, manipulation","notifications, manipulate, change settings, force, benefit them, nagging","annoying, manipulation, force to change settings",Frequently,"Instagram, YouTube",3,4,"Frustration, Anger, Distrust, Disappointment, Annoyance",It it feels really frustrating when you can easily subscribe to services but to unsubscribe you have do go through way more procedures. The fact is unsubscribing isn’t a straight forward process like subscribing.,negative,negative,negative,"frustrated, unstraightforward operation","frustrating, easily subscribe, hard to unsubscribe, ","frustrated, unstraighforward operation",Frequently,Photoshop and other Apple Store apps,5,4,"Anger, Distrust, Disappointment",I call this scamming as they are clearly ripping you off by showing you a lower price and then charging you way more at checkout,negative,negative,negative,"scam, rip off","scamming, ripping off, charging more, checkout","scam, rip off, price increase",Occasionally,"Amazon, Uber Eats",3,3,"Mile concern, Frustration",It is annoying as they make the fonts way smaller for unregistering to their services. I get it it’s a business strategy but it is still a shady one.,negative,negative,negative,"annoying, business strategy, shady","annoying, font smaller, unregistering, bussiness strategy, shady","annoying, business strategy, shady",Occasionally,"Amazon, Apple Store Apps",4,4,"Neutral, Mild concern",I find this mild annoying since I do want to be updated on the news and new instalments about the game or app and because I am interested in the product I will find it less annoying and more helpful.,neutral,negative,neutral,"slight annoyance, want to keep updated on news, interested in products, helpful","mildly annoyed, news, installments, game or apps","minor annoying, keep up to date, news, interested in products, helpful",Occasionally,"Games like overwatch , League of Legends",4,4,"Continue Using with Caution, Look for Alternatives",,,,
6/10/2024 11:35:26,Male,25 - 34,Master's degree,Research Assistant ,More than 6 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping, Entertainment",1,"Frustration, Annoyance",,,,,,,,Occasionally,"Facebook, Microsoft, YouTube",3,2,Curiosity,,,,,,,,Rarely,Amazon,2,2,"Disappointment, Annoyance",,,,,,,,Frequently,Amazon,3,2,"Mile concern, Frustration, Anger, Distrust, Annoyance",,,,,,,,Frequently,"Amazon, Facebook, Google, Instagram, LinkedIn",2,2,"Anger, Disappointment",,,,,,,,Frequently,Microsoft,4,2,"Ignore the Dark Pattern, Continue Using with Caution, Look for Alternatives",,,,
6/10/2024 11:37:33,Female,25 - 34,Master's degree,Graduate Student,More than 6 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping, Entertainment",1,"Neutral, Annoyance",,,,,,,,Rarely,Can't remember,3,3,"Frustration, Annoyance",,,,,,,,Rarely,Facebook,3,3,"Frustration, Annoyance",,,,,,,,Occasionally,Food delivery apps and eticket sites,5,4,Neutral,,,,,,,,Occasionally,ecommerce sites,3,3,Annoyance,,,,,,,,Rarely,Can't remember,5,5,"Continue Using with Caution, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings, Immediately Stop Using the Application",,,,
